2024-03-20 14:44:13,262 INFO    MainThread:11459 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-20 14:44:13,263 INFO    MainThread:11459 [wandb_setup.py:_flush():76] Configure stats pid to 11459
2024-03-20 14:44:13,263 INFO    MainThread:11459 [wandb_setup.py:_flush():76] Loading settings from /Users/davidchemaly/.config/wandb/settings
2024-03-20 14:44:13,263 INFO    MainThread:11459 [wandb_setup.py:_flush():76] Loading settings from /Users/davidchemaly/Documents/Cambridge/PhD_Projects/Dwarf_ZooBot/wandb/settings
2024-03-20 14:44:13,263 INFO    MainThread:11459 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-20 14:44:13,263 INFO    MainThread:11459 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ZOO_lightning.py', 'program_abspath': '/Users/davidchemaly/Documents/Cambridge/PhD_Projects/Dwarf_ZooBot/ZOO_lightning.py', 'program': '/Users/davidchemaly/Documents/Cambridge/PhD_Projects/Dwarf_ZooBot/ZOO_lightning.py'}
2024-03-20 14:44:13,263 INFO    MainThread:11459 [wandb_init.py:_log_setup():526] Logging user logs to ./wandb/run-20240320_144413-31hehevg/logs/debug.log
2024-03-20 14:44:13,263 INFO    MainThread:11459 [wandb_init.py:_log_setup():527] Logging internal logs to ./wandb/run-20240320_144413-31hehevg/logs/debug-internal.log
2024-03-20 14:44:13,263 INFO    MainThread:11459 [wandb_init.py:init():566] calling init triggers
2024-03-20 14:44:13,263 INFO    MainThread:11459 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-03-20 14:44:13,263 INFO    MainThread:11459 [wandb_init.py:init():616] starting backend
2024-03-20 14:44:13,263 INFO    MainThread:11459 [wandb_init.py:init():620] setting up manager
2024-03-20 14:44:13,263 INFO    MainThread:11459 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-03-20 14:44:13,264 INFO    MainThread:11459 [wandb_init.py:init():628] backend started and connected
2024-03-20 14:44:13,265 INFO    MainThread:11459 [wandb_init.py:init():720] updated telemetry
2024-03-20 14:44:13,266 INFO    MainThread:11459 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-20 14:44:13,910 INFO    MainThread:11459 [wandb_run.py:_on_init():2262] communicating current version
2024-03-20 14:44:13,990 INFO    MainThread:11459 [wandb_run.py:_on_init():2271] got version response upgrade_message: "wandb version 0.16.4 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-03-20 14:44:13,990 INFO    MainThread:11459 [wandb_init.py:init():804] starting run threads in backend
2024-03-20 14:44:18,712 INFO    MainThread:11459 [wandb_run.py:_console_start():2241] atexit reg
2024-03-20 14:44:18,712 INFO    MainThread:11459 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-20 14:44:18,712 INFO    MainThread:11459 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-20 14:44:18,712 INFO    MainThread:11459 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-20 14:44:18,713 INFO    MainThread:11459 [wandb_init.py:init():847] run started, returning control to user process
2024-03-20 14:45:41,156 INFO    MainThread:11459 [wandb_run.py:_finish():1970] finishing run davidchemaly/dwarf_galaxies_ZOO/31hehevg
2024-03-20 14:45:41,157 INFO    MainThread:11459 [wandb_run.py:_atexit_cleanup():2210] got exitcode: 0
2024-03-20 14:45:41,158 INFO    MainThread:11459 [wandb_run.py:_restore():2193] restore
2024-03-20 14:45:41,158 INFO    MainThread:11459 [wandb_run.py:_restore():2199] restore done
2024-03-20 14:45:47,558 INFO    MainThread:11459 [wandb_run.py:_footer_history_summary_info():3866] rendering history
2024-03-20 14:45:47,559 INFO    MainThread:11459 [wandb_run.py:_footer_history_summary_info():3898] rendering summary
2024-03-20 14:45:47,565 INFO    MainThread:11459 [wandb_run.py:_footer_sync_info():3825] logging synced files
